query_id,score
1,0.0
10,0.0
100,0.0
1001,0.0
1002,0.0
1003,0.2
1004,0.6
1005,0.1
1006,0.0
1007,0.0
1008,0.0
1009,0.2
101,0.0
1010,0.2
1011,0.1
1012,0.2
1013,0.4
1014,0.5
1015,0.1
1016,0.2
1017,0.1
1018,0.4
1019,0.5
102,0.0
1020,0.0
1021,0.0
1022,0.2
1023,0.2
1024,0.0
1025,0.0
1026,0.2
1027,0.3
1028,0.2
1029,0.0
103,0.0
1030,0.1
1031,0.0
1032,0.1
1033,0.2
1034,0.0
1035,0.2
1036,0.0
1037,0.2
1038,0.4
1039,0.1
104,0.0
1040,0.0
1041,0.0
1042,0.1
1043,0.2
1044,0.2
1045,0.0
1046,0.0
1047,0.3
1048,0.0
1049,0.1
105,0.1
1050,0.0
1051,0.2
1052,0.2
1053,0.0
1054,0.3
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
106,0.0
1060,0.1
1061,0.7
1062,0.2
1063,0.0
1064,0.2
1065,0.0
1066,0.2
1067,0.0
1068,0.0
1069,0.1
107,0.0
1070,0.0
1071,0.3
1072,0.4
1073,0.0
1074,0.0
1075,0.1
1076,0.0
1077,0.2
1078,0.0
1079,0.1
108,0.0
1080,0.1
1081,0.0
1082,0.1
1083,0.3
1084,0.1
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
109,0.4
1090,0.3
1091,0.0
1092,0.3
1093,0.0
1094,0.0
1095,0.0
1096,0.3
1097,0.0
1098,0.0
1099,0.2
11,0.0
110,0.0
1100,0.2
1101,0.5
1102,0.2
1103,0.0
1104,0.0
1105,0.1
1106,0.1
1107,0.2
1108,0.0
1109,0.2
111,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.1
1115,0.1
1116,0.2
1117,0.5
1118,0.1
1119,0.4
112,0.0
1120,0.1
1121,0.0
1122,0.0
1123,0.5
1124,0.0
1125,0.0
1126,0.0
1127,0.1
1128,0.1
1129,0.8
113,0.2
1130,0.1
1131,0.0
1132,0.1
1133,0.0
1134,0.4
1135,0.0
1136,0.1
1137,0.0
1138,0.7
1139,0.0
114,0.2
1140,0.1
1141,0.0
1142,0.0
1143,0.3
1144,0.4
1145,0.1
1146,0.0
1147,0.1
1148,0.2
1149,0.5
115,0.0
1150,0.2
1151,0.0
1152,0.0
1153,0.4
1154,0.1
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
116,0.0
1160,0.0
1161,0.0
1162,0.3
1163,0.1
1164,0.5
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.2
117,0.0
1170,0.0
1171,0.0
1172,1.0
1173,0.0
1174,0.1
1175,0.1
1176,0.7
1177,0.3
1178,0.3
1179,0.0
118,0.6
1180,0.0
1181,0.0
1182,0.0
1183,0.3
1184,0.1
1185,0.0
1186,0.1
1187,0.1
1188,0.1
1189,0.2
119,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.1
1194,0.0
1195,0.2
1196,0.1
1197,0.0
1198,0.0
1199,0.0
12,0.1
120,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.1
1205,0.3
1206,0.0
1207,0.0
1208,0.0
1209,0.4
121,0.0
1210,0.0
1211,0.0
1212,0.1
1213,0.0
1214,0.5
1215,0.0
1216,0.0
1217,0.0
1218,0.1
1219,0.1
122,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.4
1224,0.0
1225,0.7
1226,0.1
1227,0.0
1228,0.0
1229,0.1
123,0.0
1230,0.0
1231,0.4
1232,0.7
1233,0.4
1234,0.0
1235,0.0
1236,0.2
1237,0.2
1238,0.0
1239,0.0
124,0.0
1240,0.0
1241,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
13,0.0
130,0.0
131,0.0
132,0.0
133,0.5
134,0.4
135,0.0
136,0.0
137,0.2
138,0.4
139,0.0
14,0.0
140,0.0
141,0.1
142,0.0
143,0.0
144,0.2
145,0.0
146,0.0
147,0.0
148,0.1
149,0.0
15,0.0
150,0.0
151,0.0
152,0.1
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.1
159,0.0
16,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
17,0.0
170,0.2
171,0.3
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.1
178,0.3
179,0.1
18,0.2
180,0.2
181,0.2
182,0.2
183,0.0
184,0.0
185,0.2
186,0.0
187,0.0
188,0.0
189,0.0
19,0.1
190,0.5
191,0.0
192,0.0
193,0.0
194,0.0
195,0.1
196,0.0
197,0.6
198,0.0
199,0.2
2,0.4
20,0.0
200,0.0
201,0.3
202,0.0
203,0.0
204,0.0
205,0.1
206,0.0
207,0.5
208,0.1
209,0.3
21,0.0
210,0.0
211,0.1
212,0.1
213,0.0
214,0.0
215,0.0
216,0.1
217,0.0
218,0.1
219,0.3
22,0.1
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.1
227,0.2
228,0.1
229,0.1
23,0.0
230,0.2
231,0.0
232,0.1
233,0.1
234,0.0
235,0.0
236,0.0
237,0.1
238,0.0
239,0.2
24,0.0
240,0.0
241,0.1
242,0.0
243,0.2
244,0.3
245,0.0
246,0.0
247,0.0
248,0.2
249,0.0
25,0.4
250,0.0
251,0.0
252,0.0
26,0.3
27,0.0
28,0.0
29,0.2
3,0.0
30,0.0
31,0.0
32,0.1
33,0.7
34,0.1
35,0.0
36,0.0
37,0.1
38,0.1
39,0.0
4,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.1
45,0.1
46,0.0
47,0.0
48,0.0
49,0.3
5,0.3
50,0.0
51,0.1
52,0.0
53,0.0
54,0.1
55,0.0
56,0.0
57,0.0
58,0.0
59,0.1
6,0.0
60,0.1
61,0.1
62,0.2
63,0.2
64,0.0
65,0.0
66,0.1
67,0.1
68,0.0
69,0.0
7,0.0
70,0.0
71,0.0
72,0.1
73,0.0
74,0.0
75,0.2
76,0.0
77,0.0
78,0.0
79,0.0
8,0.1
80,0.0
81,0.0
82,0.0
83,0.0
84,0.2
85,0.0
86,0.2
87,0.1
88,0.0
89,0.0
9,0.1
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.1
99,0.0
all,0.0949
